Variant,Date Hour and Minute,Source / Medium,City,Sessions,ga:goal14Completions,ga:goal17Completions,ga:goal18Completions
0,202304110943,google / organic,Vladivostok,0,0,0,0
0,202304110943,yandex.ru / referral,Moscow,1,0,0,0
0,202304110944,google / organic,New York,1,0,0,0
0,202304110945,(direct) / (none),Moscow,1,0,0,0
0,202304110945,google / organic,Vladivostok,0,0,0,0
0,202304110945,yandex.ru / referral,Moscow,0,0,0,0
0,202304110946,(direct) / (none),Moscow,0,0,0,0
0,202304110946,gdeslon / cpa,Nizhny Novgorod,1,0,0,0
0,202304110946,yandex / cpc,Saint Petersburg,1,0,0,0
0,202304110947,yandex / cpc,Saint Petersburg,0,0,0,0
0,202304110948,(direct) / (none),Kostroma,1,0,0,0
0,202304110948,(direct) / (none),Moscow,0,0,0,0
0,202304110949,(direct) / (none),Kostroma,0,0,0,0
0,202304110949,yandex.ru / referral,Moscow,0,0,0,0
0,202304110950,(direct) / (none),Novosibirsk,1,0,0,0
0,202304110950,yandex.ru / referral,Moscow,0,0,0,0
0,202304110951,(direct) / (none),Moscow,0,0,0,0
0,202304110951,(direct) / (none),Novosibirsk,0,0,0,0
0,202304110951,yandex / cpc,Saint Petersburg,1,0,0,0
0,202304110951,yandex / organic,Saint Petersburg,1,0,0,0
0,202304110951,yandex.ru / referral,Moscow,0,0,0,0
0,202304110951,yandex.ru / referral,Vidnoye,0,0,0,0
0,202304110952,instagram.com / referral,Paris,1,0,0,0
0,202304110953,(direct) / (none),Novosibirsk,0,0,0,0
0,202304110953,(direct) / (none),Paris,1,0,0,0
0,202304110954,(direct) / (none),Novosibirsk,0,0,1,0
0,202304110955,(direct) / (none),Novosibirsk,0,0,0,0
0,202304110957,(direct) / (none),Paris,0,0,0,0
0,202304110957,yandex / cpc,Yaroslavl,1,0,0,0
0,202304110958,yandex / cpc,Yaroslavl,0,0,0,0
0,202304110959,yandex / cpc,Yaroslavl,0,0,0,0
0,202304111000,(direct) / (none),Novosibirsk,0,1,0,1
0,202304111000,yandex / cpc,Yaroslavl,0,0,0,0
0,202304111001,l.instagram.com / referral,Zanzibar,1,0,0,0
0,202304111001,yandex.ru / referral,Vidnoye,0,0,0,0
0,202304111007,yandex / cpc,Tver,1,0,0,0
0,202304111008,(direct) / (none),Paris,0,0,0,0
0,202304111008,yandex / cpc,Tver,0,0,0,0
0,202304111009,yandex / cpc,Tver,0,0,0,0
0,202304111010,google / organic,Yaroslavl,1,0,0,0
0,202304111010,yandex / cpc,Moscow,1,0,0,0
0,202304111010,yandex / cpc,Tver,0,0,0,0
0,202304111011,google / organic,Yaroslavl,0,0,0,0
